X,Y,Z
1311,336,-822
1827,235,95
1246,459,844
664,793,671
581,418,309
725,-329,219
264,-1145,450
-402,-1344,208
-652,-1151,-209
-714,-698,-170
-1181,-649,302
-1460,-835,496
-1073,-910,717
-1382,-592,1215
-2488,12,1826
-2821,223,2575
-662,-572,2764
2314,-1029,2195
2967,-1267,1431
1438,-714,408
196,-227,-241
-1109,14,-231
-2031,119,-163
-2678,763,-706
-3143,794,-1256
-2541,318,-1505
-964,417,-1683
207,1028,-990
40,1502,480
-302,1549,1302
-400,1279,1336
-171,917,876
221,783,216
359,654,-459
274,592,-1052
148,521,-1360
444,199,-1290
852,-48,-1291
867,190,-1367
223,362,-1239
28,358,-1120
102,209,-1030
274,182,-832
83,810,-652
-310,1098,-240
-308,978,35
-43,1002,-86
138,982,184
510,683,325
1010,456,-259
1392,446,-485
828,851,229
-452,1033,888
-999,817,749
-538,25,515
636,-708,415
1104,-914,309
913,-350,141
-87,302,148
-735,365,189
-803,-391,127
-424,-744,-286
-62,-794,-637
-35,-317,-499
-948,106,-228
-1710,151,330
-1911,-194,723
-1832,-498,761
-1467,-684,969
-887,-558,1751
-769,-126,2728
-1259,825,3330
-1768,1180,2803
-1416,703,1574
-163,279,460
738,73,-206
507,38,-535
-362,-261,-618
-343,-374,-541
62,-330,-296
48,-347,60
-134,-870,116
114,-1392,-458
481,-1671,-1359
571,-1229,-2123
234,-516,-2195
-455,-131,-1522
-624,-436,-717
306,-1209,-560
1592,-884,-1244
1553,-43,-1490
-74,443,-1124
-925,438,-1011
-1117,275,-624
-1535,-46,88
-1840,-721,-10
-1587,-1432,-462
-915,-1705,-407
-1003,-1259,637
-1840,-1083,2109
-2783,-1354,3180
-3115,-1132,3201
-2501,-101,2208
-1658,1117,722
-571,572,-256
794,-111,-674
1158,-701,-518
627,-1482,-127
241,-1905,-173
186,-1867,-847
-123,-1812,-1737
-666,-1908,-1872
-985,-1530,-1221
-1196,-1139,-273
-1125,-650,106
-1110,-451,36
-992,-655,-112
-772,-618,-330
-704,-302,-320
-612,-313,115
-389,-403,522
-184,-610,515
-73,-769,111
206,-684,-572
953,-279,-948
1392,311,-978
1455,1031,-715
1519,1431,-404
1792,1587,-295
1859,1582,-443
1448,1404,-569
691,984,-116
62,113,309
341,-476,303
953,-572,338
1037,-291,763
399,-17,1397
-258,196,1507
-93,-53,1029
599,-429,293
929,-497,-326
870,-339,-837
648,42,-1114
283,392,-953
34,33,-628
514,-784,-484
1050,-1280,-527
867,-1107,-261
-267,-504,400
-1570,-116,735
-2390,-448,317
-1449,-788,-222
317,-265,-528
1135,307,-411
1039,1130,-275
1082,1778,-21
1457,1800,326
2181,1140,440
2624,517,598
2166,409,1280
1174,802,1201
503,1478,433
453,1673,-249
1323,1375,-543
2313,1528,-211
1821,1681,283
817,1630,388
885,1168,312
1345,862,633
1004,974,1296
305,924,1386
191,682,888
597,214,437
721,-108,590
168,-438,869
-420,-616,978
-419,-161,507
-644,351,-315
-1224,636,-1146
-1234,206,-1497
-663,-174,-1528
-122,21,-1177
-228,264,-304
-843,60,403
-969,-344,143
-421,-805,-385
379,-1122,-416
325,-1018,-42
-258,-1042,214
-43,-1430,-98
1346,-1579,-381
2143,-1393,69
1382,-653,886
214,326,1388
-339,1065,1177
-378,1395,221
105,1480,-993
791,1157,-1841
1197,950,-2243
1006,1076,-2306
542,968,-2091
668,571,-1811
1104,405,-1306
1234,826,-634
450,1726,-85
-107,1610,466
-45,1280,306
1044,868,419
2138,1062,922
1985,1370,1155
1149,1546,820
705,1720,970
-289,1653,1000
-1045,1093,550
-764,452,-4
56,-84,354
59,498,1311
-1119,1160,1277
-1758,993,539
-842,175,113
138,-371,-216
326,-219,-164
-308,31,265
-775,343,456
-944,412,350
-32,269,48
886,-121,-150
1113,-245,-276
492,2,-345
-271,254,-356
-775,344,-767
-619,375,-1435
-195,418,-1721
-126,697,-1601
-427,876,-1409
-828,628,-1295
-814,187,-1048
-178,-175,-701
352,-264,-434
460,-298,-382
637,-3,-256
717,30,-63
1343,-151,-474
1861,-36,-729
2207,142,-437
2173,398,-62
1847,148,154
2103,-512,841
1945,-643,2045
716,-409,2411
-400,-139,1313
-794,-241,-207
-507,-627,-1002
209,-948,-362
-13,-204,1282
-1286,325,2341
-1804,-45,1924
-945,-646,927
0,-1181,441
-190,-1303,316
-719,-1384,109
-577,-1444,-221
-390,-1643,-186
-467,-1826,92
-408,-1890,375
-302,-1819,342
-700,-1662,-152
-530,-1596,-751
-153,-1251,-1015
-370,-520,-1128
-957,40,-1199
