X,Y,Z
699,725,-732
719,466,-681
694,234,-515
595,178,-261
512,229,-109
400,365,-2
299,551,22
270,691,5
314,767,19
409,833,2
474,788,-54
492,695,-80
472,565,99
422,397,371
326,299,461
165,282,388
44,166,447
28,69,657
126,-60,940
292,-88,1235
263,-51,1446
-110,54,1308
-449,143,612
-290,208,-271
-11,1,-937
240,-371,-1152
292,-745,-713
78,-901,194
-294,-832,1050
-674,-774,1456
-744,-589,1043
-391,-330,303
25,-280,-343
256,-279,-615
351,-285,-635
341,-252,-593
351,-303,-627
430,-397,-629
413,-415,-578
208,-240,-491
-70,24,-387
-165,262,-289
-186,434,-245
-164,557,-177
-128,595,-99
-86,635,-82
-87,637,-7
-121,635,24
-116,668,72
-27,612,188
12,509,332
-6,517,444
72,454,436
101,348,121
128,249,-265
308,96,-355
475,-74,84
383,-137,992
152,-91,1655
-70,9,1496
-78,181,607
-20,301,-261
-94,219,-753
-64,-129,-766
195,-533,-362
330,-666,103
359,-467,268
345,-40,134
335,299,-109
473,466,-306
635,554,-369
692,467,-237
742,247,-102
786,146,-84
801,170,-136
784,243,-270
782,224,-353
746,220,-274
652,205,-126
545,303,-75
474,404,-102
478,502,-147
456,546,-113
418,492,17
342,532,110
311,550,194
285,478,327
331,367,404
264,210,408
94,180,251
2,99,300
45,-122,672
30,-287,1141
-207,-285,1404
-580,-118,1125
-609,153,441
-371,395,-177
-210,462,-431
-164,278,-265
-185,4,125
-226,-160,468
-289,-273,655
-358,-402,689
-335,-395,438
-244,-229,-88
-153,-128,-547
-44,-58,-883
36,-11,-1050
144,-46,-1198
191,-121,-1125
62,-220,-981
-36,-174,-837
-31,-129,-593
-79,-205,-220
-167,-261,0
-257,-210,116
-282,-159,215
-310,-97,318
-336,-123,365
-324,-214,467
-268,-318,495
-272,-484,145
-70,-616,-341
270,-762,-277
411,-851,678
-41,-703,1749
-667,-261,1797
-827,320,698
-419,612,-415
-8,426,-849
103,-248,-549
-29,-664,-81
-62,-692,174
-102,-345,269
-164,48,215
-263,497,-33
-235,894,-486
-112,1170,-825
26,1216,-1045
115,1217,-1135
233,1120,-1112
262,901,-912
230,571,-561
276,326,-285
229,228,-132
180,206,-66
68,193,-123
81,150,-178
277,-108,-82
270,-406,177
13,-591,455
-350,-759,562
-551,-912,318
-478,-890,-51
-522,-817,-235
-423,-719,-77
-410,-615,152
-369,-620,189
-332,-556,138
-571,-385,-78
-683,-279,-400
-658,-309,-626
-700,-393,-715
-707,-490,-594
-790,-579,-36
-1055,-585,671
-1220,-416,977
-1205,-273,898
-1018,-289,709
-928,-385,454
-841,-392,76
-823,-350,-268
-837,-288,-439
-819,-209,-556
-768,-69,-656
-823,10,-686
-875,58,-577
-846,63,-581
-822,26,-541
-765,-49,-496
-686,-86,-265
-691,-103,34
-708,-106,249
-689,-156,350
-585,-141,447
-536,-79,627
-578,87,652
-781,104,484
-928,-128,215
-837,-240,113
-476,-65,115
-50,94,448
86,279,663
141,469,669
110,428,635
15,369,410
-48,132,45
-173,-18,-486
-209,73,-578
-48,-84,-682
91,-138,-489
141,-60,-117
219,2,185
246,31,354
206,-37,375
422,145,36
754,-26,-295
892,-143,-545
944,-147,-765
1006,-241,-888
926,-328,-776
686,-380,-533
518,-199,-288
436,-208,-231
552,-278,-402
746,-211,-620
855,-166,-609
782,-30,-517
664,64,-368
653,149,-329
805,143,-293
905,55,-207
931,-91,-273
659,-156,-514
380,36,-514
349,265,-152
404,232,296
512,-19,605
701,-256,733
750,-328,496
465,-140,46
40,194,-347
-131,290,-563
-33,200,-606
191,-143,-218
346,-536,409
76,-655,803
-198,-519,873
-264,-285,726
-219,-162,487
-25,-66,237
170,-33,-65
166,-16,-212
113,121,-288
109,228,-210
206,190,53
173,191,180
119,399,26
-44,580,-179
-44,786,-259
-102,951,-195
-139,1043,-130
-156,1033,-80
-137,813,176
-96,459,573
-304,131,832
-575,-68,1010
-747,-255,906
-886,-605,335
-906,-764,-406
-661,-526,-590
-329,-6,137
-353,230,1138
-695,70,1542
-975,-170,1086
-862,-314,65
-518,-571,-703
-245,-1004,-651
50,-1171,-198
62,-832,-60
-257,-354,-177
-218,100,-353
6,285,-527
75,429,-693
184,589,-739
397,731,-653
438,656,-455
444,501,-230
420,308,68
407,-3,287
415,-115,296
404,-66,254
483,97,204
533,219,214
504,222,177
438,100,239
366,38,244
385,1,81
245,-116,27
64,-255,136
-104,-303,0
-259,-385,-147
-376,-547,-81
-369,-588,124
-286,-403,241
-346,-302,119
-262,-344,-310
-293,-304,-889
-611,-226,-1048
-1170,-88,-902
-775,-600,-796
-973,-626,-792
-899,-628,-432
-943,-603,-18
-1008,-519,323
-873,-473,109
-586,-521,-232
-351,-619,-505
-140,-646,-574
-215,-610,-451
-327,-423,-455
-283,-189,-596
-273,-23,-516
-353,-47,-320
-478,-102,-179
-540,-131,-139
-409,-102,-225
-328,-50,-158
-318,-82,-12
-322,-149,110
-314,-331,197
-140,-373,168
24,-342,190
-74,-267,397
-212,-197,579
-54,-233,611
78,-488,295
154,-844,-262
196,-979,-708
111,-968,-491
186,-1025,240
358,-1047,701
333,-1022,475
205,-896,-222
90,-552,-915
-142,-243,-1385
-189,-155,-1398
100,-76,-1134
342,-180,-804
359,-438,-531
427,-558,-320
563,-398,-364
822,-183,-497
958,52,-603
978,246,-705
1018,293,-751
1098,227,-728
1195,33,-585
1156,-117,-539
1167,-216,-613
1124,-266,-665
1031,-306,-779
959,-234,-871
934,-207,-865
942,-111,-746
864,-98,-537
759,-131,-414
677,-147,-359
738,-116,-346
748,-141,-221
603,-173,29
345,-187,102
186,-55,-85
247,32,-210
305,-137,-99
475,-693,414
477,-1153,986
230,-990,1180
0,-537,953
-145,-153,438
-248,-18,59
-377,-213,-266
-436,-383,-398
-372,-390,-225
-239,-375,147
-237,-323,699
-352,-233,944
-410,-31,672
-221,200,274
-86,270,85
-66,403,-51
-31,536,-25
-44,600,92
-159,648,214
-193,733,406
-188,824,527
-93,916,264
137,970,46
423,978,-36
518,881,150
500,782,251
549,659,306
616,663,151
731,675,22
841,521,-12
893,363,48
733,201,171
584,-8,257
454,-247,385
362,-338,441
271,-433,331
208,-608,319
163,-613,274
67,-492,157
-106,-374,104
-145,-318,19
-66,-296,-3
-84,-305,98
-207,-199,22
-188,-89,-143
-56,-92,-254
6,-161,-321
135,-301,-361
219,-401,-386
356,-404,-319
349,-287,-350
394,-207,-328
395,-155,-157
381,-149,-15
399,-138,26
397,-71,-18
387,58,-51
367,141,-16
343,155,-42
344,152,-18
349,181,-6
303,263,-67
294,458,-163
349,594,-294
499,654,-352
646,660,-387
686,708,-267
550,788,-72
502,954,56
488,1138,102
596,1230,97
882,1052,319
982,886,535
897,865,757
748,908,802
679,1082,687
666,1066,530
750,783,579
647,606,692
392,729,897
64,806,1028
-4,847,786
260,922,334
582,972,-231
681,979,-440
456,1120,-249
184,979,379
-79,858,1045
-366,721,1341
-371,814,1157
-186,1003,636
-55,1103,155
-49,1135,-39
-133,1161,-100
-245,1184,-132
-361,1194,-267
-324,1113,-426
-142,840,-415
32,597,-327
69,451,-103
-73,357,86
-194,309,280
-147,131,413
-23,-98,474
81,-182,618
-83,-227,886
-182,-243,1132
-220,-307,1264
-148,-351,1288
-210,-309,1225
-290,-303,1207
-435,-358,1038
-450,-354,705
-335,-187,520
-209,-152,660
-273,-252,903
-258,-218,882
-188,-151,738
-185,-66,512
-154,-87,228
-168,6,-200
-224,248,-588
-212,379,-834
-121,294,-727
-181,5,-227
-124,-421,371
-143,-401,604
-192,-152,445
27,105,168
179,248,-237
220,313,-274
132,826,-434
-125,872,-371
-152,696,-203
-30,583,-88
138,553,-5
200,588,-86
272,599,-23
190,614,71
9,507,121
0,284,116
70,177,69
-29,89,83
-68,0,6
-28,80,-124
-22,118,24
-173,35,323
-562,74,452
-819,281,206
-805,470,-14
-709,584,-155
-574,507,-27
-594,440,337
-573,272,627
-430,174,815
-252,136,711
-326,109,504
-412,145,276
-285,300,-7
-107,503,-120
-99,660,-11
-280,705,293
-571,769,653
-770,811,712
-605,780,543
-230,591,206
354,706,-123
-130,450,-402
-471,176,-548
-489,227,-569
-1316,-1783,-586
818,220,-569
197,164,-654
-636,126,-619
-660,473,-504
-1456,704,-135
-1421,852,808
-1129,555,797
-1186,337,427
-1008,378,141
-1097,949,467
-1545,510,396
-1245,439,278
-966,189,68
-770,-21,-14
-745,-305,-116
-925,-110,-55
-1216,18,422
-907,116,753
-740,358,479
-978,696,-90
-1197,1261,183
-781,1556,-192
-154,-1267,-2049
-1463,-449,668
-1311,-1073,1067
-945,-494,908
-669,282,-86
-386,417,-521
-146,232,-557
-259,79,-40
-909,26,-19
-1017,-380,445
524,-192,-870
