X,Y,Z
4,-1,4
5,-2,-8
-4,8,-31
-1,-3,11
3,-5,-8
1,-7,-3
14,0,-12
16,4,14
-2,-6,0
12,4,7
8,-9,3
-8,-11,-5
12,-7,-21
12,1,12
-15,3,0
4,-6,-1
3,-8,18
-4,-11,15
4,6,5
-16,1,-8
6,-15,9
-13,0,-1
-1,-6,-11
-14,5,-6
2,5,5
-5,3,20
-10,3,2
-5,-11,11
5,-2,-7
2,-1,10
14,-12,-21
7,-4,-15
-4,9,26
-4,-11,-6
-5,16,26
6,-12,16
-11,0,-13
2,-10,-20
19,-2,9
-10,7,-7
-4,12,-14
10,-2,15
5,25,-11
-9,46,-21
-13,7,48
-44,125,0
1,92,-1
26,130,14
-12,145,10
-123,118,29
-174,119,-52
-99,71,8
-28,-45,-34
89,-341,-70
41,-464,-7
-27,-223,-8
59,-14,99
-6,75,46
-19,129,58
-64,119,117
-52,171,118
-143,21,73
-112,-41,-13
26,0,307
47,23,-14
-169,29,117
-332,12,188
-483,-41,175
-364,-152,-145
-407,-248,-41
-448,-53,-90
-493,83,-186
-684,129,-58
-776,162,212
-937,-16,281
-899,-128,361
-926,-93,205
-998,25,79
-862,82,46
-787,-93,57
-838,-206,414
-649,-192,162
-377,-155,-2
-280,-75,-123
-159,-53,-174
174,3,-79
248,-17,-160
418,435,-459
396,143,-442
158,57,-131
277,253,-208
296,344,-268
130,256,-145
117,192,-113
165,99,50
205,175,92
96,213,161
17,-51,-26
-159,19,-5
-66,-92,-60
-14,-150,-51
-68,82,37
-408,-112,-159
-675,-152,-159
-540,-173,-85
-188,-192,-9
29,-219,75
81,-268,55
-59,-240,-123
41,-98,-155
189,28,-44
25,-180,-10
-544,-449,-248
-712,-569,-448
-649,-392,-268
-326,-124,752
-335,-531,777
-439,-609,-45
-588,-504,-704
-437,-552,-660
-33,-389,-400
345,-483,-465
565,-566,-511
1243,201,-328
1789,972,274
1544,441,-508
879,564,306
245,14,157
178,81,-74
424,192,-187
642,126,-197
585,-20,-183
406,-38,-164
256,1,91
131,-42,163
119,-63,29
142,-33,29
190,97,-116
283,119,-160
258,76,-89
258,-52,2
321,-159,43
